uuid,input_text
a141860e-d716-397b-884c-5b62989ea053,"NOM: Sci Le Bambois | TYPES: RentalAccommodation, AccommodationProduct | DESC:"
533a75e6-3cad-3cf4-87b7-3343de0b470e,"NOM: L'Auberge du Bois D'Amour | TYPES: FoodEstablishment, Restaurant | DESC:"
8cba3ac2-e944-3a81-8bcb-7d601d1c1616,"NOM: Eglise Saint Etienne | TYPES: CulturalSite, ReligiousSite, Church | DESC: Construite au IXe siècle à l’époque carolingienne sous le patronage de Saint Étienne, elle faisait partie de l’Église métropolitaine de Lyon."
2d8091b3-39a4-3503-8a0e-31521084459f,NOM: CLUB DÉTENTE SPORT ET SANTÉ | TYPES: ActivityProvider | DESC: 2 séances de pilates et de fitness par semaine proposées aux adultes et adolescents.
7671a070-4040-3223-9b81-c1b1d59c3565,"NOM: Parc de Bois Doré | TYPES: CulturalSite, Park, ParkAndGarden | DESC: Dans le parc de Bois Doré vous pouvez parcourir un sentier de découverte des arbres, accessible au PMR, des jeux pour les enfants, un skate parc et un parcours de santé."
9ed58976-5821-313c-85df-5858f8650e52,"NOM: Brocante  ""Les Puces Dunoises"" | TYPES: SaleEvent, EntertainmentAndEvent, Event, SocialEvent, GarageSale, TraditionalCelebration, LocalAnimation, BricABrac | DESC: Brocante professionnelle et particuliers mensuelle ( tous les 3eme samedis du mois)"
ac3657ca-0186-31d3-8ea4-5e7ca3e41651,"NOM: La Maison du Sauzay | TYPES: RentalAccommodation | DESC: La Maison du Sauzay est une ancienne étable rénovée, mitoyenne à la maison des propriétaires, située au calme dans un petit village à 3 km de la Cité médiévale de Clisson, à 2,4 km du célèbre site du Hellfest, à 28 km de Nantes et 21 km d'Ancenis. Cour close de 20 m² (exposée Est). Stationnement devant le gîte. Plain pied : grand salon/séjour avec cuisine aménagée ouverte, 2 chambres dont accessible par 1  marche (1: lit 140x190, 2: 2 lits 80x200 jumelables et un coin bureau séparé), salle de bains et WC indépendant. Equipements inclus : wifi, lit/chaise/baignoire bébé. Compris: électricité, chauffage fioul, draps (lits faits à l'arrivée) et linge de toilette.  Non compris: ménage fin de séjour et taxe de séjour."
5620d9d4-a48c-3e75-8ab1-d95c3839076c,"NOM: Alter Bridge | TYPES: EntertainmentAndEvent, Event, Concert, MusicEvent, CulturalEvent | DESC: La séparation de la légende du post-grunge Creed avait laissé les fans désemparés. Mais de leurs cendres brûlantes est né un groupe au talent incommensurable : Alter Bridge."
03d8cc1b-2bcb-3fd7-95ef-a02e6a87620a,"NOM: Gîtes de France® - Le France | TYPES: RentalAccommodation | DESC: Gîte de ville au Havre. Appartement situé au 1er étage, en front de mer, vous bénéficiez d'une vue sur le port de plaisance du Havre. Ville classée au patrimoine mondial de l'UNESCO, vous serez à 2 pas du musée Malraux et de la plage. Amateur d'art, vous pourrez profiter de la décoration personnalisée et contemporaine du propriétaire (sculpture et peinture). Parking commun gratuit derrière l'immeuble. Appartement au 1er étage : - cuisine (plaques inductions, four, lave-vaisselle, micro-ondes) avec coin repas, - salon (canapé convertible confortable 160x200cm) avec TV, - 2 chambres (2 lits 1 personne 90cm), - salle d'eau avec lave-linge, - wc séparé. Le chauffage et les draps sont inclus dans le tarif de location. Le linge de maison (serviettes) n'est pas fourni. Ménage fin de séjour optionnel moyennant un supplément. À noter, ce gîte n'est pas en formule tout compris : certaines options sont en supplément."
83f9c30f-530b-390b-a3f9-0770c7e09a13,NOM: SARL 2S Nettoyage Services | TYPES:  | DESC: Nettoyage de locaux pour particuliers et professionnels.
5e40d730-10cf-3ce6-b6db-cf6b9810cdc4,"NOM: Brasserie O' Mistral | TYPES: FoodEstablishment, Restaurant, BrasserieOrTavern | DESC: Vous trouverez également à la carte des viandes, poissons et plats cuisinés  (lasagnes de différentes sorte : à la bolognaise, riccota/épinard ou encore au saumon...) vous propose également un couscous royal aux 3 viandes tous les vendredis, et à volonté s'il vous plait !  Location Salle de réception"
7207c72d-9724-3f04-8eb0-d531ff17a9e5,NOM: Adélaïdes (Les) | TYPES: RentalAccommodation | DESC:
bd33af04-523d-3c0a-ba92-afc16474d8ed,"NOM: Sous le ciel de Paris, à la Micro-Folie | TYPES: EntertainmentAndEvent, Event, CulturalEvent, SportsEvent, SocialEvent, TraditionalCelebration, LocalAnimation, ChildrensEvent | DESC: 14h/15h : musée numérique et réalité virtuelle. Œuvres d’art projetées sur grand écran autour de Paris, réalité virtuelle, jeux, livres et activités manuelles à découvrir librement. 15h/16h : atelier créatif - Chefs-d'œuvre, à vous de dessiner ! À partir de chefs-d'œuvre projetés dans le musée numérique, petits et grands sont invités à dessiner librement, sans modèle imposé ni attente de résultat."
b74cc9e6-c4bc-34a2-a1c7-d8c52227697c,NOM: Pharmacie de l'art nouveau | TYPES:  | DESC:
35c9dde5-f3a0-3f51-bc29-cd01ef6ecd60,NOM: Maison de santé de La plaine de Val de Reuil | TYPES: BoutiqueOrLocalShop | DESC: La Maison de Santé de La Plaine accueille 16 professionnels de santé à Val de Reuil  En recherche de professionnel  Présence d'un maître de stage en médecine générale
71fcae1a-bab8-30bd-a6f1-66f9f1855b2f,"NOM: Plage des Cigales | TYPES: Landform, NaturalHeritage, SportsAndLeisurePlace, Beach | DESC: Faisant face à Saint-Tropez, cette plage de sable est appréciée pour son petit phare et son pont pittoresque."
13a8ed64-7b33-340f-9795-1126a7972571,"NOM: Villa Juno - Chambre années 40 | TYPES: RentalAccommodation, BedAndBreakfast, Guesthouse | DESC: Bienvenue à la Villa Juno ! Cette maison construite en 1836 et son jardin ont été rénovés en 2021 pour en faire une maison d'hôtes. Nous vous  y accueillons  et partageons notre  goût pour la côte de Nacre et son histoire. Située dans le village de Saint-Aubin-sur-Mer, la villa est à 100 m de la plage, de la digue avec ses cafés et restaurants.  Vous pourrez profiter de la maison, d'une terrasse privative, d'un grand jardin...et de la cabine de plage.  A noter : Borne de recharge électrique 11kw, à disposition de la clientèle. La décoration de chacune des 4 chambres associe le design et le vintage pour évoquer une des décennies des « trente glorieuses » jusqu'aux années « 70 ».  Le petit déjeuner est composé de produits régionaux ou préparés sur place. Jean-Michel propose des circuits à vélo.  Nous serons très heureux de vous rencontrer et de vous guider, si vous le souhaitez, pour profiter des ressources touristiques et culturelles de la région. A bientôt !  Chambre 40 : les gravures témoignent d'un monde de conflits : Le Lotus Bleu (1934) qui se déroule pendant la guerre de Mandchourie est paru dans sa version coloriée en 1946. Les otages de Fautrier représentent les martyrs de la résistance. La carte du Débarquement permet de mesurer le retard de la prise de Caen par les Alliés, leur progression vers l'Ouest, et la ""poche de Falaise"". Les photos de combats rue Canet ont été prises le 6 juin 44 devant la maison (qui avait reçu un obus, tuant son occupante). Avec la Reconstruction l’optimisme revient : le portrait de Françoise Gilot date de la première année de sa vie avec Picasso (sûrement la période la plus heureuse du peintre). La reproduction de la guitare blanche cubiste de Picasso est faite selon un procédé inventé par Vercors : la « callichromie ». Le cinéma est un loisir très populaire (vous serez surpris par la souplesse du fauteuil de cinéma en bois). La tête de lit de 120 cm témoigne de l'augmentation de taille standard d'un lit à deux places depuis cette période. Le lit ""queen size"" et la modernité de la salle d’eau et des toilettes séparées vous ramènent dans le confort des années 2020."
b4aa40aa-6f6b-37ea-9d78-8ae105a599b3,"NOM: Vert 12h20 | TYPES: FoodEstablishment, Restaurant | DESC: Des assiettes copieuses, aux desserts gourmands en passant par le pain à base de farines bio (avec ou sans gluten). Pour des locavores avides de vert ! Un menu qui change au fil des saisons, dès 11€.    Mardi matin et vendredi matin vente de fruits et légumes cultivés près de Marseille."
14a70b32-c137-3e40-a5c4-2bcf05b3bded,"NOM: Club du Soleil, Camping Club Naturisme à Troyes | TYPES:  | DESC: Le Club du Soleil de Troyes vous accueille sur un terrain de 9 hectares au cœur de l'Aube, où règne paix, tranquillité, convivialité.  La Seine, à proximité, vous permettra de vous ressourcer . le terrain arboré vous offrira calme et sérénité.    Location de caravane et chalet."
048e390a-dc78-3d88-9c11-790776b9124b,NOM: Téléphérique de la Cime Caron | TYPES: SportsAndLeisurePlace | DESC:
